epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.3505,0.73983,0.86364,1,0.61627,0.08713,0.00013,0.00013
2,29.372,0.29889,0.97727,1,0.15173,0.0732673,0.000267327,0.000267327
3,43.1329,0.18619,0.97727,1,0.12588,0.0594019,0.000401882,0.000401882
4,56.8304,0.4542,1,1,0.01091,0.0455337,0.000533665,0.000533665
5,70.5471,0.21072,0.97727,1,0.13411,0.0316627,0.000662676,0.000662676
6,84.7405,0.15309,0.97727,1,0.06314,0.0177889,0.000788915,0.000788915
7,98.8792,0.18026,0.97727,1,0.01658,0.00391238,0.000912382,0.000912382
8,112.716,0.14207,0.97727,1,0.06703,0.0009307,0.0009307,0.0009307
9,126.768,0.2158,0.97727,1,0.06292,0.0009208,0.0009208,0.0009208
10,140.725,0.19721,0.97727,1,0.2989,0.0009109,0.0009109,0.0009109
11,154.881,0.16567,0.97727,1,0.06713,0.000901,0.000901,0.000901
12,171.448,0.76733,1,1,0.0138,0.0008911,0.0008911,0.0008911
13,192.658,0.25915,0.90909,1,0.57373,0.0008812,0.0008812,0.0008812
14,209.854,0.21852,0.97727,1,0.05809,0.0008713,0.0008713,0.0008713
