epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.2768,0.47875,0.90323,1,0.28712,0.08209,9e-05,9e-05
2,50.0768,0.23032,0.98387,1,0.02702,0.0631813,0.000181337,0.000181337
3,75.4886,0.20376,0.98387,1,0.02263,0.0442689,0.000268912,0.000268912
4,101.505,0.22069,1,1,0.01424,0.0253527,0.000352725,0.000352725
5,126.359,0.1842,0.98387,1,0.05565,0.00643278,0.000432776,0.000432776
6,150.183,0.15282,0.98387,1,0.10467,0.0004505,0.0004505,0.0004505
7,174.061,0.10403,0.96774,1,0.05449,0.0004406,0.0004406,0.0004406
8,202.357,0.1103,0.98387,1,0.08804,0.0004307,0.0004307,0.0004307
9,241.008,0.06854,0.98387,1,0.10098,0.0004208,0.0004208,0.0004208
10,295.365,0.09053,0.98387,1,0.10838,0.0004109,0.0004109,0.0004109
11,317.305,0.15188,0.98387,1,0.05846,0.000401,0.000401,0.000401
12,343.262,0.056,0.98387,1,0.06727,0.0003911,0.0003911,0.0003911
13,364.849,0.08895,0.98387,1,0.05478,0.0003812,0.0003812,0.0003812
14,394.077,0.05113,0.96774,1,0.10194,0.0003713,0.0003713,0.0003713
